,motorSelectiveStop,stopSignal,discountFix,stroop,CCTHot,WATT3,DPX,twoByTwo
crit_stop_failure-crit_go,1.169023956675028,,,,,,,
crit_stop_failure-noncrit_signal,1.162566900691069,,,,,,,
response_time,1.6723706607793227,1.5309445905471721,1.3139521969695347,1.433361843153601,,,1.6727677058215062,1.6628172578801705
crit_go,1.810185741746328,,,,,,,
crit_go_derivative,3.647709770002675,,,,,,,
crit_stop_success,1.3769544566444227,,,,,,,
crit_stop_success_derivative,2.1150508771523833,,,,,,,
crit_stop_failure,1.3546968668277337,,,,,,,
crit_stop_failure_derivative,2.0757480179561263,,,,,,,
noncrit_signal,1.5766674894490251,,,,,,,
noncrit_signal_derivative,2.859838147857812,,,,,,,
noncrit_nosignal,1.7377795761487653,,,,,,,
noncrit_nosignal_derivative,3.6108011131262203,,,,,,,
too_fast,,,,,,,,1.7764625266778504
too_fast_derivative,,,,,,,,1.237089847687021
commission,,,,,,,,1.67183579261943
commission_derivative,,,,,,,,2.6726248628264146
omission,,,,,,,3.0987586482894725,
omission_derivative,,,,,,,1.6200839439139672,
cosine00,1.1585122132510715,1.2773496347955189,1.1770105533004236,1.3150881412649984,1.1982577713874434,1.5440192108851913,1.1089338911772568,1.1003387757636127
cosine01,1.0784264280574045,1.1360301250661209,1.1118544141548299,1.419203292754314,1.146815054337843,1.800618322439809,1.0805135704851103,1.0591734318358235
cosine02,1.0741956798483427,1.1449770147745024,1.1074974914482847,,1.1405391259859743,1.2957233625177278,1.0575345683910424,1.067729192061226
cosine03,1.0780336033535511,1.113952946696865,1.1777141026424274,,1.2675960569599345,1.5259328664148184,1.0541680061037104,1.0440068473528197
cosine04,1.0615866944447436,,1.065483348464031,,1.125449810910619,1.1755482426109054,1.055627597329727,1.1493329431660244
cosine05,1.0582867258245834,,1.066344261749681,,1.145210062890676,1.3426648980885745,1.0569038872988676,1.5971997067116728
cosine06,1.0746079347641262,,1.0671310390107036,,1.1634550269464452,1.1396638921873907,1.0670699743105274,1.1066576488008104
cosine07,1.0754985809939273,,1.1299469017233352,,1.3746105634179924,1.1722890296330069,1.275382875661379,1.0414339421657681
cosine08,1.0867429513710698,,1.039742922825992,,1.1604417074368607,1.0693939328853184,1.0509375161191916,1.0623508126873478
response_time_derivative,1.4471967929047804,1.1736900320755628,1.0784036130091526,1.2479736678305213,,,1.4034539517254718,1.558870546079648
constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
non_steady_state_outlier00,1.010721985655631,1.0150697895537424,1.0198527349477406,1.0398447490860254,1.0230618574209847,1.0149735651990606,1.0151555165188824,1.0178877975529732
non_steady_state_outlier01,1.010721985655631,1.015132201196958,1.0200308677593182,1.042496547959491,1.0223866541019897,1.0128783712888807,1.0143697230407287,1.0183655112770424
non_steady_state_outlier02,1.0110711435464306,1.0151322011969581,1.0200308677593182,1.046955858161936,,1.0128783712888807,1.0146562256631362,1.0183655112770424
non_steady_state_outlier03,1.0110711435464308,1.0149865868161538,1.021137788065381,1.0469558581619363,,1.012603819373689,,1.017804310791642
non_steady_state_outlier04,1.0110711435449875,1.015061262519305,1.021137788065102,1.040882820785158,,1.0126038193736897,,1.018614512225656
stop_success-go,,1.1692423392438849,,,,,,
stop_failure-go,,1.2524102294249606,,,,,,
go,,1.6530894648438252,,,,,,
go_derivative,,3.6694188947905224,,,,,,
stop_success,,1.4531175899720785,,,,,,
stop_success_derivative,,2.7256136179495254,,,,,,
stop_failure,,1.4434343442753548,,,,,,
stop_failure_derivative,,2.700372190728207,,,,,,
non_steady_state_outlier05,,1.015035484944837,1.0211143682961126,1.0408825896972562,,1.0126038193736897,,1.0207435099611906
non_steady_state_outlier06,,1.015030070639202,1.0206589411298088,,,1.0126038193736897,,
non_steady_state_outlier07,,1.0196045211706244,1.0207899874234698,,,,,
task,,,inf,,1.8254754000098479,,,
task_derivative,,,inf,,1.0991172111404555,,,
choice,,,,,,,,
choice_derivative,,,,,,,,
non_steady_state_outlier08,,,1.0226009912006553,,,,,
non_steady_state_outlier09,,,1.0195895632162393,,,,,
cosine09,,,1.0346653592803188,,1.1856742826192375,,1.050091654834878,
congruent,,,,2.1735085455153307,,,,
congruent_derivative,,,,6.961726562728945,,,,
incongruent,,,,2.192527418179921,,,,
incongruent_derivative,,,,7.042508413679855,,,,
incongruent - congruent,,,,1.2725100472779562,,,,
positive_draw,,,,,1.48794136830204,,,
positive_draw_derivative,,,,,1.213643993204458,,,
negative_draw,,,,,4.245862346819836,,,
negative_draw_derivative,,,,,2.31577401968114,,,
trial_gain,,,,,1.648472633793782,,,
trial_gain_derivative,,,,,1.2471518177915586,,,
trial_loss,,,,,4.2266227800176654,,,
trial_loss_derivative,,,,,2.359853784685439,,,
planning_event,,,,,,3.520498067815357,,
planning_parametric,,,,,,7.179656561481063,,
acting_event,,,,,,15.191355378496297,,
acting_parametric,,,,,,7.1660253233630336,,
feedback,,,,,,12.583326819076161,,
.5*planning_event + .5*acting_event,,,,,,10.178765923701734,,
.5*planning_parametric + .5*acting_parametric,,,,,,1.5887094880284454,,
planning_event_derivative,,,,,,2.3140169774979347,,
planning_parametric_derivative,,,,,,2.442336658631362,,
acting_event_derivative,,,,,,8.987701804922724,,
acting_parametric_derivative,,,,,,2.737715713889856,,
feedback_derivative,,,,,,6.8353333440515405,,
acting_event_practice,,,,,,31.27081361092142,,
acting_event_practice_derivative,,,,,,5.8195318814598735,,
acting_parametric_practice,,,,,,1.395344706954151,,
acting_parametric_practice_derivative,,,,,,1.1623020038430383,,
feedback_practice,,,,,,32.18833518244902,,
feedback_practice_derivative,,,,,,3.337444853380921,,
AY-BY,,,,,,,1.3911048419709364,
BX-BY,,,,,,,1.0931322616961665,
AX,,,,,,,7.48225497036719,
AX_derivative,,,,,,,3.783071761757001,
