,motorSelectiveStop,stopSignal,discountFix,stroop,CCTHot,WATT3,DPX,twoByTwo
crit_stop_failure-crit_go,1.1194593214564361,,,,,,,
crit_stop_failure-noncrit_signal,1.1033105152167761,,,,,,,
crit_go,1.6353660059236859,,,,,,,
crit_go_derivative,3.4507796839441807,,,,,,,
crit_stop_success,1.361182958048417,,,,,,,
crit_stop_success_derivative,2.0922343240012617,,,,,,,
crit_stop_failure,1.323132664257236,,,,,,,
crit_stop_failure_derivative,2.032838359109205,,,,,,,
noncrit_signal,1.5141383846055205,,,,,,,
noncrit_signal_derivative,2.768272608101473,,,,,,,
noncrit_nosignal,1.6445043490307187,,,,,,,
noncrit_nosignal_derivative,3.489779116525977,,,,,,,
too_fast,,,,,,,,1.7652387858993301
too_fast_derivative,,,,,,,,1.2313995861870677
commission,,,,,,,,1.6400626015804691
commission_derivative,,,,,,,,2.644990552825798
omission,,,,,,,2.1186062572703985,
omission_derivative,,,,,,,1.371367097772217,
cosine00,1.0772066263732438,1.1016729888581456,1.0975348453367573,1.162331133328836,1.1982577713874434,1.5430983917933854,1.0753230148711361,1.0561246757565084
cosine01,1.0543084219350054,1.0727612461310452,1.079508619234902,1.3032914795016468,1.146815054337843,1.7977180149828123,1.063729420690979,1.0354466132954323
cosine02,1.0528608706620965,1.0978568119630774,1.0815557075951294,,1.1405391259859743,1.2953560444599943,1.0501242520044887,1.0543989741227147
cosine03,1.061561252947986,1.0899276505273525,1.158530266478305,,1.2675960569599345,1.5265263784034784,1.0461448240168398,1.030658705954611
cosine04,1.0483478847533392,,1.0500295509721318,,1.125449810910619,1.1756490915943887,1.0472528406144765,1.1316308558837518
cosine05,1.0425857821540925,,1.0513687017058133,,1.145210062890676,1.3430661392648318,1.0489286216873477,1.569205869576731
cosine06,1.0553746655309484,,1.051667845955559,,1.1634550269464452,1.138994755791613,1.0562418197437389,1.0919122484519843
cosine07,1.0594392234204615,,1.1146540523785147,,1.3746105634179924,1.1722890296330069,1.2411335725947827,1.0289566214142372
cosine08,1.0745919256042422,,1.0242045322753741,,1.1604417074368607,1.0693939328853184,1.043245116146212,1.047674186185369
constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
non_steady_state_outlier00,1.0105038384586411,1.0148896317076768,1.0196898148116436,1.0301045847488315,1.0230618574209847,1.0149735651990606,1.0137853018464904,1.0178286295364494
non_steady_state_outlier01,1.010503838458641,1.0148754591118714,1.0198453374901766,1.0305894704016767,1.0223866541019897,1.0128783712888807,1.013018915596543,1.0183328814099994
non_steady_state_outlier02,1.0109692589676669,1.0148754591118714,1.0198453374901768,1.034426226939515,,1.0128783712888807,1.0133631104435956,1.0183328814099994
non_steady_state_outlier03,1.0109692589676669,1.0147084798298498,1.0209101560027065,1.034426226939515,,1.012603819373689,,1.0177879954544016
non_steady_state_outlier04,1.0109692589663444,1.015059386409816,1.0209101560025196,1.02118461630876,,1.0126038193736897,,1.0186107552124581
go,,1.6057652298453093,,,,,,
go_derivative,,3.5773854000091534,,,,,,
stop_success,,1.4229157149237646,,,,,,
stop_success_derivative,,2.6761840342964818,,,,,,
stop_failure,,1.3586708295009735,,,,,,
stop_failure_derivative,,2.579099002843538,,,,,,
stop_success-go,,1.1274566481080828,,,,,,
stop_failure-go,,1.1299637226855608,,,,,,
non_steady_state_outlier05,,1.0150334973790311,1.0208910485850704,1.0211845923539422,,1.0126038193736897,,1.0207415117900347
non_steady_state_outlier06,,1.015023947006681,1.02042194037945,,,1.0126038193736897,,
non_steady_state_outlier07,,1.0195633744424784,1.0195628872954061,,,,,
task,,,inf,,1.8254754000098479,,,
choice,,,,,,,,
task_derivative,,,inf,,1.0991172111404555,,,
choice_derivative,,,,,,,,
non_steady_state_outlier08,,,1.0186784244305267,,,,,
non_steady_state_outlier09,,,1.0151685512700137,,,,,
cosine09,,,1.0221955567382968,,1.1856742826192375,,1.044827275011843,
congruent_rtdur,,,,1.8273797348539076,,,,
congruent_rtdur_derivative,,,,3.3361791544602193,,,,
incongruent_rtdur,,,,1.829175318904032,,,,
incongruent_rtdur_derivative,,,,3.3348326348042985,,,,
incongruent_rtdur - congruent_rtdur,,,,1.1039798358131576,,,,
trial_loss,,,,,4.2266227800176654,,,
trial_gain,,,,,1.648472633793782,,,
positive_draw,,,,,1.48794136830204,,,
negative_draw,,,,,4.245862346819836,,,
positive_draw_derivative,,,,,1.213643993204458,,,
negative_draw_derivative,,,,,2.31577401968114,,,
trial_gain_derivative,,,,,1.2471518177915586,,,
trial_loss_derivative,,,,,2.359853784685439,,,
planning_event,,,,,,3.513152680404378,,
planning_event_derivative,,,,,,2.3136514616076282,,
planning_parametric,,,,,,7.158153750309726,,
planning_parametric_derivative,,,,,,2.4392975481291477,,
acting_event,,,,,,15.121084001820549,,
acting_event_derivative,,,,,,8.963193785739058,,
acting_parametric,,,,,,7.141344045522271,,
acting_parametric_derivative,,,,,,2.7360358041017605,,
feedback,,,,,,12.526148126129895,,
feedback_derivative,,,,,,6.820582087019896,,
acting_event_practice,,,,,,31.08885918426469,,
acting_event_practice_derivative,,,,,,5.7990201171969815,,
acting_parametric_practice,,,,,,1.3941598017812131,,
acting_parametric_practice_derivative,,,,,,1.1619184179222815,,
feedback_practice,,,,,,32.012466044805805,,
feedback_practice_derivative,,,,,,3.3209195957106936,,
.5*planning_event + .5*acting_event,,,,,,10.142014103905971,,
.5*planning_parametric + .5*acting_parametric,,,,,,1.5884978257864204,,
ay_rtdur-by_rtdur,,,,,,,1.2148212230407593,
bx_rtdur-by_rtdur,,,,,,,1.0931742799303779,
ax_rtdur,,,,,,,3.8558659831615523,
ax_rtdur_derivative,,,,,,,2.4691222016353773,
ay_rtdur,,,,,,,2.3366568166663684,
ay_rtdur_derivative,,,,,,,1.6941575662053419,
bx_rtdur,,,,,,,2.2864377740837574,
bx_rtdur_derivative,,,,,,,1.6845044561297329,
by_rtdur,,,,,,,2.3879827558588897,
by_rtdur_derivative,,,,,,,1.7140197560980155,
cosine10,,,,,,,1.0453159629479554,
task_switch_900-task_stay_cue_switch_900,,,,,,,,1.2572023281039904
task_stay_cue_switch_900-cue_stay_900,,,,,,,,1.2181510773546846
task_switch_100-task_stay_cue_switch_100,,,,,,,,1.2583275121174287
task_stay_cue_switch_100-cue_stay_100,,,,,,,,1.209684391754287
task_switch_900,,,,,,,,2.7479547151380856
task_switch_900_derivative,,,,,,,,5.759060272186285
task_stay_cue_switch_900,,,,,,,,2.124401408015554
task_stay_cue_switch_900_derivative,,,,,,,,3.7170723624591364
cue_stay_900,,,,,,,,2.17430202156165
cue_stay_900_derivative,,,,,,,,3.7855678363433283
task_switch_100,,,,,,,,2.0587417893427444
task_switch_100_derivative,,,,,,,,4.40971686598557
task_stay_cue_switch_100,,,,,,,,1.6790045256477155
