,motorSelectiveStop,stopSignal,ANT,discountFix,stroop,CCTHot,WATT3,DPX,twoByTwo
crit_stop_failure-crit_go,"[1.1690239566750278, 0.08455710007485137]",,,,,,,,
crit_stop_failure-noncrit_signal,"[1.1625669006910697, 0.1120956647239224]",,,,,,,,
response_time,"[1.6723706607793232, 0.8162438501733084]","[1.5309445905471726, 0.5936753207161753]","[1.5432082927691106, 2.1689919451982047]","[1.313952196969535, 0.24189180702920535]","[1.4333618431536006, 0.2940332953808881]",,,"[1.6727677058215038, 0.45705326544194985]","[1.6628172578801725, 0.29365845620580877]"
crit_go,"[1.8101857417463272, 0.3489582359669922]",,,,,,,,
crit_go_derivative,"[3.6477097700026757, 0.4537657352333453]",,,,,,,,
crit_stop_success,"[1.3769544566444234, 0.07195831434180762]",,,,,,,,
crit_stop_success_derivative,"[2.115050877152383, 0.23203205520985856]",,,,,,,,
crit_stop_failure,"[1.3546968668277342, 0.07616271804214424]",,,,,,,,
crit_stop_failure_derivative,"[2.075748017956126, 0.2606598664317347]",,,,,,,,
noncrit_signal,"[1.5766674894490254, 0.14389910225614483]",,,,,,,,
noncrit_signal_derivative,"[2.859838147857813, 0.3345199222408544]",,,,,,,,
noncrit_nosignal,"[1.7377795761487658, 0.24894263797268432]",,,,,,,,
noncrit_nosignal_derivative,"[3.61080111312622, 0.42201470936148755]",,,,,,,,
too_fast,"[1.2313603941383584, 0.06804988742902708]","[0, 0]","[51.453015175921955, 50.339003624628525]","[1.2884064951009317, 0.1658193160708915]","[3.4521396994501066, 5.82357454412653]",,,"[1.3565777145835887, 0.21386563791123425]","[1.7764625266778502, 0.14518493573110064]"
too_fast_derivative,"[1.1316630582338874, 0.013559703153777646]","[0, 0]","[2.124366556848705, 1.0215617327465565]","[1.072162099450965, 0.05694285862937687]","[1.850699113595627, 1.1607945045440309]",,,"[1.1779316121664891, 0.11139768155594079]","[1.237089847687021, 0.05286620979638812]"
commission,"[1.714092465196933, 4.48706850459952]","[1.2867937842695278, 0.5168838784929675]","[339.2990880953126, 375.88620881818406]",,"[1.3845753468473394, 0.2858043651340503]",,,"[1.8696013704735186, 0.6849617868070753]","[1.6718357926194303, 0.29930314964587423]"
commission_derivative,"[1.5270780468508038, 0.9209112870390934]","[1.4645603577738926, 0.6726499882449484]","[6.721431888211937, 4.220570793052813]",,"[2.0117693402170116, 0.8325307449650594]",,,"[1.4274893959513901, 0.3496883840408208]","[2.6726248628264155, 0.9865969570179314]"
omission,"[1.9578517330403609, 5.105359224265269]","[1.2912922693065338, 0.18493127675032525]","[5685.467662471908, 6707.586152771005]",,"[2.402379949708354, 3.388136564150588]",,,"[3.0987586482894707, 1.3076092417051308]","[1.4683875330679168, 0.7472099896897706]"
omission_derivative,"[1.6242021884191244, 1.3053669205834426]","[1.3949651722159646, 0.45870637419412363]","[22.093544145537305, 12.27217401071992]",,"[2.8967614509670936, 2.023845925028566]",,,"[1.6200839439139676, 0.13817146085683799]","[1.5756633259135644, 0.8743853673755783]"
cosine00,"[1.1585122132510712, 0.178707020915216]","[1.277349634795519, 0.3231957965833318]","[1.3525377668559717, 0.7637590124760765]","[1.177010553300424, 0.16813909066925778]","[1.315088141264998, 0.2585216331942234]","[1.1982577713874434, 0.26957434449707796]","[1.5440192108851918, 0.28174262132271877]","[1.1089338911772568, 0.09924478805478992]","[1.100338775763612, 0.081625389635596]"
cosine01,"[1.078426428057404, 0.04598667940418877]","[1.1360301250661202, 0.12443906777165202]","[1.2022566782339397, 0.1669263178475033]","[1.1118544141548294, 0.10868350598092545]","[1.4192032927543137, 0.20732969280159055]","[1.146815054337843, 0.20395192444781401]","[1.800618322439809, 0.39593250462306356]","[1.0805135704851103, 0.06474876081271046]","[1.0591734318358232, 0.057495883340867866]"
cosine02,"[1.0741956798483436, 0.040703303166500476]","[1.1449770147745022, 0.10743541957166626]","[1.218950841224135, 0.12886954048194393]","[1.1074974914482845, 0.09634939784413327]",,"[1.140539125985975, 0.1554999751232025]","[1.2957233625177278, 0.08764362399836083]","[1.0575345683910429, 0.036449323637573236]","[1.0677291920612257, 0.03181001452657402]"
cosine03,"[1.078033603353551, 0.040290809662808395]","[1.1139529466968652, 0.05992451288199552]","[1.5058733947704361, 0.165499926810258]","[1.177714102642427, 0.09863955879644383]",,"[1.2675960569599343, 0.15922453962908698]","[1.5259328664148173, 0.18743395696334678]","[1.0541680061037109, 0.035926997921426694]","[1.0440068473528197, 0.02935197790399747]"
cosine04,"[1.0615866944447436, 0.03309638812082374]",,"[1.153591587548922, 0.10666718144357308]","[1.0654833484640314, 0.04651886513456756]",,"[1.1254498109106184, 0.05499862383125857]","[1.1755482426109054, 0.07180002355042983]","[1.0556275973297269, 0.031794868601510776]","[1.1493329431660244, 0.06565527231948771]"
cosine05,"[1.0582867258245838, 0.03801410906778731]",,"[1.2324142006887833, 0.18718756924327762]","[1.0663442617496814, 0.04423550108362462]",,"[1.145210062890676, 0.11143933456157627]","[1.3426648980885745, 0.16887431046134205]","[1.0569038872988676, 0.02854728875228276]","[1.597199706711672, 0.19436988333233945]"
cosine06,"[1.0746079347641269, 0.03787917180091033]",,"[1.2594433262802598, 0.11458873523610746]","[1.0671310390107038, 0.040806975348115136]",,"[1.1634550269464452, 0.09429704979869077]","[1.1396638921873905, 0.061870627082808966]","[1.0670699743105276, 0.034308238639085026]","[1.1066576488008104, 0.06543427635073298]"
cosine07,"[1.0754985809939275, 0.04129091367955108]",,"[1.06400757228133, 0.0]","[1.1299469017233357, 0.03566224036149888]",,"[1.3746105634179921, 0.20303880937363852]","[1.172289029633007, 0.08542377380358064]","[1.275382875661379, 0.03178669562466185]","[1.0414339421657677, 0.029149674442761814]"
cosine08,"[1.0867429513710696, 0.0335784287156017]",,"[1.0410095491616782, 0.0]","[1.0397429228259918, 0.021887184176359376]",,"[1.1604417074368605, 0.09072916051570365]","[1.0693939328853184, 0.0]","[1.0509375161191918, 0.0345449692501439]","[1.0623508126873478, 0.03231678267739519]"
response_time_derivative,"[1.4471967929047804, 0.7392009068426756]","[1.1736900320755626, 0.10724491277599084]","[1.1482592772251372, 0.5322877575174831]","[1.0784036130091526, 0.09666644842620328]","[1.2479736678305209, 0.20635980696935272]",,,"[1.4034539517254716, 0.3502325792019134]","[1.5588705460796477, 0.31455363852202245]"
constant,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
non_steady_state_outlier00,"[1.010721985655631, 0.0003255410238191569]","[1.0150697895537424, 0.0008106166299586377]","[1.0273528889730026, 0.0013573149187940667]","[1.0198527349477406, 0.001391137821874321]","[1.0398447490860254, 0.006620510377594856]","[1.0230618574209847, 0.0006752033189948436]","[1.0149735651990606, 0.002971519400115993]","[1.0151555165188824, 0.0016214318838745298]","[1.0178877975529734, 0.002224858766988359]"
non_steady_state_outlier01,"[1.010721985655631, 0.0003255410238190388]","[1.015132201196958, 0.0007548294008830462]","[1.0282042339868644, 0.0007675224330876418]","[1.0200308677593184, 0.001566342041729379]","[1.042496547959491, 0.008022390559122577]","[1.0223866541019897, 0.0]","[1.0128783712888807, 0.0002745519151909903]","[1.0143697230407287, 0.00028650262240725866]","[1.0183655112770424, 0.0018180661612801595]"
non_steady_state_outlier02,"[1.0110711435464306, 0.0]","[1.0151322011969581, 0.0007548294008831633]","[1.0289717564199516, 0.0]","[1.0200308677593182, 0.0015663420417294713]","[1.046955858161936, 0.006073037376778334]",,"[1.0128783712888807, 0.0002745519151909903]","[1.0146562256631362, 0.0]","[1.0183655112770424, 0.0018180661612800205]"
non_steady_state_outlier03,"[1.0110711435464308, 0.0]","[1.0149865868161538, 0.0007785830341473321]","[1.028971756419952, 0.0]","[1.021137788065381, 6.575253312990359e-05]","[1.0469558581619363, 0.006073037376778556]",,"[1.012603819373689, 0.0]",,"[1.017804310791642, 0.0020819783514586217]"
non_steady_state_outlier04,"[1.0110711435449875, 0.0]","[1.015061262519305, 0.0]",,"[1.021137788065102, 6.575253330776132e-05]","[1.040882820785158, 0.0]",,"[1.0126038193736897, 0.0]",,"[1.018614512225656, 0.002129007208273026]"
stop_success-go,,"[1.169242339243885, 0.10758991675231964]",,,,,,,
stop_failure-go,,"[1.2524102294249602, 0.13897232298860568]",,,,,,,
go,,"[1.653089464843825, 0.1291859125742234]",,,,,,,
go_derivative,,"[3.669418894790523, 0.31001466178720993]",,,,,,,
stop_success,,"[1.453117589972079, 0.1293677336074094]",,,,,,,
stop_success_derivative,,"[2.7256136179495263, 0.23899315740716676]",,,,,,,
stop_failure,,"[1.4434343442753548, 0.155618871729477]",,,,,,,
stop_failure_derivative,,"[2.700372190728207, 0.32431398872464706]",,,,,,,
non_steady_state_outlier05,,"[1.015035484944837, 0.0]",,"[1.0211143682961126, 7.34554330629189e-05]","[1.0408825896972562, 0.0]",,"[1.0126038193736897, 0.0]",,"[1.0207435099611906, 0.0]"
non_steady_state_outlier06,,"[1.015030070639202, 0.0]",,"[1.0206589411298088, 0.00016949932119880717]",,,"[1.0126038193736897, 0.0]",,
non_steady_state_outlier07,,"[1.0196045211706244, 0.0]",,"[1.0207899874234698, 0.0001516970121449024]",,,,,
cue_parametric,,,"[0, 0]",,,,,,
congruency_parametric,,,"[1.17515180742996, 0.08556192292764997]",,,,,,
cue_parametric_derivative,,,"[0, 0]",,,,,,
congruency_parametric_derivative,,,"[1.0863776165544887, 0.06985852002641194]",,,,,,
interaction,,,"[0, 0]",,,,,,
interaction_derivative,,,"[0, 0]",,,,,,
task,,,"[5789.592432446629, 6747.696716348051]","[1.611404445286999, 0.44757034867794065]",,"[1.8254754000098485, 0.7689780571545831]",,,
task_derivative,,,"[19.53771546119241, 9.487800724941408]","[1.0133206065549416, 0.023560113388342123]",,"[1.0991172111404552, 0.04622636567387202]",,,
choice,,,,"[1.2175853190084285, 0.1443074060544296]",,,,,
choice_derivative,,,,"[1.0836999561763827, 0.09883592884812023]",,,,,
non_steady_state_outlier08,,,,"[1.0226009912006553, 0.00042007735714344463]",,,,,
non_steady_state_outlier09,,,,"[1.0195895632162393, 0.0]",,,,,
cosine09,,,,"[1.0346653592803188, 0.0005870257207287732]",,"[1.1856742826192377, 0.08471372383839958]",,"[1.0500916548348782, 0.02177380115356418]",
congruent,,,,,"[2.17350854551533, 0.28525637670274706]",,,,
congruent_derivative,,,,,"[6.961726562728944, 0.9244833943741999]",,,,
incongruent,,,,,"[2.1925274181799206, 0.2740672480703141]",,,,
incongruent_derivative,,,,,"[7.0425084136798555, 0.9868110474543001]",,,,
incongruent - congruent,,,,,"[1.2725100472779565, 0.24302770765180978]",,,,
positive_draw,,,,,,"[1.4879413683020402, 0.17324311025613048]",,,
positive_draw_derivative,,,,,,"[1.2136439932044587, 0.09535360124966347]",,,
negative_draw,,,,,,"[4.245862346819839, 2.040012851233796]",,,
negative_draw_derivative,,,,,,"[2.31577401968114, 0.8762949980233545]",,,
trial_gain,,,,,,"[1.6484726337937827, 0.2996777188202193]",,,
trial_gain_derivative,,,,,,"[1.2471518177915588, 0.09354186021381551]",,,
trial_loss,,,,,,"[4.226622780017662, 1.9969023539656536]",,,
trial_loss_derivative,,,,,,"[2.359853784685438, 0.8976847658584735]",,,
planning_event,,,,,,,"[3.5204980678153586, 2.648965404233408]",,
planning_parametric,,,,,,,"[7.179656561481061, 7.198862253720026]",,
acting_event,,,,,,,"[15.191355378496297, 13.723885652267537]",,
acting_parametric,,,,,,,"[7.166025323363033, 7.511100073824918]",,
feedback,,,,,,,"[12.58332681907616, 9.788657964514853]",,
.5*planning_event + .5*acting_event,,,,,,,"[10.178765923701738, 7.021815476463091]",,
.5*planning_parametric + .5*acting_parametric,,,,,,,"[1.588709488028445, 0.11485458719499098]",,
planning_event_derivative,,,,,,,"[2.3140169774979347, 0.4547665823587728]",,
planning_parametric_derivative,,,,,,,"[2.442336658631363, 0.9498322104042917]",,
acting_event_derivative,,,,,,,"[8.987701804922724, 4.369127502832015]",,
acting_parametric_derivative,,,,,,,"[2.7377157138898562, 1.011812068023796]",,
feedback_derivative,,,,,,,"[6.8353333440515405, 3.6686273398581566]",,
acting_event_practice,,,,,,,"[31.270813610921422, 70.53360810340398]",,
acting_event_practice_derivative,,,,,,,"[5.819531881459875, 4.13222988813926]",,
acting_parametric_practice,,,,,,,"[1.3953447069541507, 0.3950732341414729]",,
acting_parametric_practice_derivative,,,,,,,"[1.1623020038430387, 0.157001321307983]",,
feedback_practice,,,,,,,"[32.188335182449016, 69.85190151700127]",,
feedback_practice_derivative,,,,,,,"[3.3374448533809224, 2.7468706223081303]",,
AY-BY,,,,,,,,"[1.3911048419709364, 0.32158564660852623]",
BX-BY,,,,,,,,"[1.0931322616961663, 0.03294969827317367]",
AX,,,,,,,,"[7.482254970367191, 3.5427431637290994]",
AX_derivative,,,,,,,,"[3.7830717617570015, 0.5548857849003976]",
AY,,,,,,,,"[4.229145050748359, 1.7391884977168492]",
AY_derivative,,,,,,,,"[2.35757087458039, 0.3497633915827628]",
BX,,,,,,,,"[4.042010580114221, 1.6543361790571687]",
BX_derivative,,,,,,,,"[2.3929052863112177, 0.33915778153914883]",
BY,,,,,,,,"[4.2659198689575515, 1.7358550660320573]",
BY_derivative,,,,,,,,"[2.447887347969263, 0.30615027251086924]",
cosine10,,,,,,,,"[1.0523482450810429, 0.0030493238841700077]",
task_switch_900,,,,,,,,,"[2.816780845414311, 0.48269946558758253]"
task_switch_900_derivative,,,,,,,,,"[5.82506859580178, 1.1409579255322617]"
task_stay_cue_switch_900,,,,,,,,,"[2.2035599181466323, 0.5367571236734856]"
task_stay_cue_switch_900_derivative,,,,,,,,,"[3.7945274846572943, 1.0047904195315276]"
cue_stay_900,,,,,,,,,"[2.251595869927976, 0.4118366051964077]"
cue_stay_900_derivative,,,,,,,,,"[3.8619980462632078, 0.8745592211903431]"
task_switch_100,,,,,,,,,"[2.21975212177681, 0.34687704554197735]"
task_switch_100_derivative,,,,,,,,,"[4.62672388300327, 0.8575352460381168]"
task_stay_cue_switch_100,,,,,,,,,"[1.7356247664912567, 0.28593328086278996]"
task_stay_cue_switch_100_derivative,,,,,,,,,"[3.03544661916301, 0.7106844536479834]"
