,motorSelectiveStop,stopSignal,ANT,discountFix,stroop,CCTHot,WATT3,DPX,twoByTwo
crit_stop_failure-crit_go,"[1.1691748584219155, 0.08380042396051386]",,,,,,,,
crit_stop_failure-noncrit_signal,"[1.1615292040973133, 0.11074621039602044]",,,,,,,,
response_time,"[9.964362865575678, 4.04531298385711]","[25.39360536755661, 46.70863313676292]","[9.882228096044539, 5.501441048423338]","[2.1591127782559476, 0.6900284267415625]","[8.019501636566575, 5.982458800253546]",,,"[4.8912025777813835, 2.5801793820937844]","[7.796893388275156, 2.5819916294368097]"
crit_go,"[9.283450916475664, 4.369591376059653]",,,,,,,,
crit_go_derivative,"[10.656557197381261, 3.8103169595332353]",,,,,,,,
crit_stop_success,"[1.3792104996965253, 0.0740553663701864]",,,,,,,,
crit_stop_success_derivative,"[2.114545384696751, 0.23193142775810371]",,,,,,,,
crit_stop_failure,"[3.780498295468004, 1.3242490042881543]",,,,,,,,
crit_stop_failure_derivative,"[4.544357316134483, 1.517772036989459]",,,,,,,,
noncrit_signal,"[5.509992716202204, 1.8158552831247747]",,,,,,,,
noncrit_signal_derivative,"[6.706360298771508, 1.8021083076116926]",,,,,,,,
noncrit_nosignal,"[6.981024723292776, 2.699985192826935]",,,,,,,,
noncrit_nosignal_derivative,"[8.536735569047138, 2.4755719489328727]",,,,,,,,
too_fast,"[1.2369239695625966, 0.0743135110988]","[0, 0]","[51.49168356458378, 50.375427014537735]","[1.3136700554033638, 0.15964742208681415]","[3.4642168072098385, 5.866068272272586]",,,"[1.3780727844464364, 0.2294137352190766]","[1.7751813658337092, 0.1454160566125418]"
too_fast_derivative,"[1.13099929755467, 0.013491972046803555]","[0, 0]","[2.1327499588722683, 1.0282748475044285]","[1.0817990767786472, 0.050607385114546405]","[1.8623148670362728, 1.1654367788907842]",,,"[1.1769860630838338, 0.11062511228684832]","[1.236839877861136, 0.05295455085730371]"
commission,"[1.7158198004619278, 4.489099100615389]","[1.2895990277196931, 0.5095728050765281]","[337.8417068205953, 372.84537890945603]",,"[1.38832305794617, 0.2859535555887784]",,,"[1.9327923083723322, 0.7263936566035336]","[1.6755830268293515, 0.29973283675098805]"
commission_derivative,"[1.5271637378070206, 0.9209230929957682]","[1.4697018324005717, 0.712186873240161]","[6.794830758393631, 4.27671374499987]",,"[2.00903706832613, 0.833936946787157]",,,"[1.4393867574781969, 0.350536555676744]","[2.6752530906803824, 0.9900579798493558]"
omission,"[1.9581380472371928, 5.107959323813874]","[1.2905292668719122, 0.18559753908371568]","[5726.649837897738, 6718.819581596081]",,"[2.4035929263942037, 3.4051028466953457]",,,"[3.4462562991306394, 1.6478979942097807]","[1.4688447558347102, 0.7473476906923476]"
omission_derivative,"[1.6243429131569143, 1.3053307617578735]","[1.3946904661712225, 0.458474164823865]","[22.3124959636057, 12.290838369605083]",,"[2.8995273003616515, 2.041782503618858]",,,"[1.6969976807366876, 0.18425016547970857]","[1.577273426837888, 0.8779169649906317]"
cosine00,"[1.1574216307624978, 0.17608356246388993]","[1.27573230027433, 0.3204990582728163]","[1.352927420068945, 0.7647234051643517]","[1.1784045775765608, 0.16910314178087382]","[1.3139231111601961, 0.25871329361646034]","[1.1982577713874434, 0.26957434449707796]","[1.543098391793386, 0.2805692025108155]","[1.1083434361940407, 0.09910061661174215]","[1.1002895180335226, 0.08165003313958545]"
cosine01,"[1.0783385133393202, 0.04592732050824334]","[1.1354518229557902, 0.12232602134579286]","[1.2024203182261735, 0.16703055779118506]","[1.113285564733079, 0.10982907740537233]","[1.4191679623206708, 0.20703565426594847]","[1.146815054337843, 0.20395192444781401]","[1.797718014982812, 0.3951795712129066]","[1.081149830444532, 0.0651404283526985]","[1.0591889170850446, 0.05754659082275352]"
cosine02,"[1.0741187384814908, 0.04031857304945136]","[1.1458632299057159, 0.10919182762292014]","[1.2192156747922198, 0.12829362689131776]","[1.1086811262373653, 0.09567381889805099]",,"[1.140539125985975, 0.1554999751232025]","[1.295356044459994, 0.08731039807845638]","[1.0576771977967037, 0.036452852465253656]","[1.0679179934623888, 0.03195302284663891]"
cosine03,"[1.0780265701195904, 0.039732102264938965]","[1.1143433837041512, 0.05939120927387869]","[1.5096243946510317, 0.16519130187108516]","[1.1805951651830586, 0.09994909942924127]",,"[1.2675960569599343, 0.15922453962908698]","[1.526526378403477, 0.18664684840422785]","[1.054533955937381, 0.03568935010865965]","[1.0439752635941513, 0.029227527591067507]"
