,motorSelectiveStop,stopSignal,discountFix,stroop,CCTHot,WATT3,DPX,twoByTwo
crit_stop_failure-crit_go,"[1.1194593214564361, 0.06968205920516458]",,,,,,,
crit_stop_failure-noncrit_signal,"[1.1033105152167761, 0.04904902096253098]",,,,,,,
crit_go,"[1.6353660059236865, 0.12526809111733736]",,,,,,,
crit_go_derivative,"[3.45077968394418, 0.35204275300742566]",,,,,,,
crit_stop_success,"[1.3611829580484167, 0.06983999138844536]",,,,,,,
crit_stop_success_derivative,"[2.092234324001262, 0.22622822753490388]",,,,,,,
crit_stop_failure,"[1.3231326642572356, 0.0683796144917972]",,,,,,,
crit_stop_failure_derivative,"[2.032838359109205, 0.213101746445661]",,,,,,,
noncrit_signal,"[1.5141383846055203, 0.08376836505552339]",,,,,,,
noncrit_signal_derivative,"[2.768272608101472, 0.28356857328374346]",,,,,,,
noncrit_nosignal,"[1.644504349030719, 0.14874665592813494]",,,,,,,
noncrit_nosignal_derivative,"[3.4897791165259773, 0.35017399028074736]",,,,,,,
too_fast,"[1.207198608032991, 0.05078428220953663]","[0, 0]","[1.2801223565072162, 0.161190932963666]","[3.301025336823526, 5.604708540822054]",,,"[1.2322471878694325, 0.12149815464026942]","[1.76523878589933, 0.14339579859419688]"
too_fast_derivative,"[1.1230783494354073, 0.008213852105235793]","[0, 0]","[1.0667026413860294, 0.0515856666558441]","[1.6298350593420203, 1.2062956315777018]",,,"[1.104392759071348, 0.06465609138891638]","[1.2313995861870681, 0.05288635292143552]"
commission,"[1.6931966633458548, 4.482978008286721]","[1.209728544982389, 0.12757733427306997]",,"[1.2660837776497524, 0.24692670783350826]",,,"[1.4382160085787739, 0.29578570814222443]","[1.6400626015804698, 0.30309925980620717]"
commission_derivative,"[1.5059047590983918, 0.9178408822646322]","[1.3760728326943632, 0.2922474604809239]",,"[1.4524510308766998, 0.5518303095466324]",,,"[1.2616524503539217, 0.21421512552732055]","[2.644990552825796, 0.9842038826384987]"
omission,"[1.9401590501968817, 5.100643844366653]","[1.269748284341063, 0.1889985431967353]",,"[2.2139399734471317, 3.2781460334825483]",,,"[2.118606257270399, 0.6485097276059204]","[1.4569280509568105, 0.7495952374744536]"
omission_derivative,"[1.6080472099239898, 1.2997599676329135]","[1.3742667277637464, 0.46049507606442547]",,"[2.0995607135965755, 1.7719859263331443]",,,"[1.371367097772217, 0.11853484959035475]","[1.5682336775367547, 0.8720433921125226]"
cosine00,"[1.0772066263732438, 0.08579686992297614]","[1.1016729888581456, 0.08606135574436176]","[1.0975348453367577, 0.09235901818191548]","[1.162331133328836, 0.23695342312258538]","[1.1982577713874434, 0.26957434449707796]","[1.543098391793386, 0.2805692025108155]","[1.0753230148711361, 0.07018114954603996]","[1.0561246757565081, 0.05148425742960806]"
cosine01,"[1.0543084219350058, 0.03479583749574322]","[1.0727612461310454, 0.06449385579317744]","[1.0795086192349017, 0.08011995004667317]","[1.303291479501647, 0.2140755420290893]","[1.146815054337843, 0.20395192444781401]","[1.797718014982812, 0.3951795712129066]","[1.0637294206909789, 0.039996763113134694]","[1.0354466132954323, 0.04943327603731036]"
