,motorSelectiveStop,stopSignal,ANT,discountFix,stroop,CCTHot,WATT3,DPX,twoByTwo
crit_stop_failure-crit_go,"[1.1698013158951828, 0.08473925454916345]",,,,,,,,
crit_stop_failure-noncrit_signal,"[1.1629781838508695, 0.11248998382755078]",,,,,,,,
response_time,"[9.994127564231096, 4.087547176427569]","[25.57635335865981, 47.43781987769578]","[9.928724825229489, 5.670657794192189]","[2.1920187878853588, 0.7135767821527248]","[8.047832529801996, 6.006889434741642]",,,"[4.905642201429709, 2.6313853700431307]","[7.836552761736339, 2.589365557674839]"
crit_go,"[9.326637469630914, 4.440590778422906]",,,,,,,,
crit_go_derivative,"[11.171210388129685, 4.347159909235989]",,,,,,,,
crit_stop_success,"[1.3769544566444234, 0.07195831434180759]",,,,,,,,
crit_stop_success_derivative,"[2.115050877152382, 0.23203205520985853]",,,,,,,,
crit_stop_failure,"[3.8021355895287874, 1.3480178671826377]",,,,,,,,
crit_stop_failure_derivative,"[4.730901043304233, 1.7087015226913997]",,,,,,,,
noncrit_signal,"[5.538571443967325, 1.8380503573511253]",,,,,,,,
noncrit_signal_derivative,"[6.965124219112046, 1.9757238097985474]",,,,,,,,
noncrit_nosignal,"[7.012220476749148, 2.733318457753533]",,,,,,,,
noncrit_nosignal_derivative,"[8.875170830237682, 2.8019936394780616]",,,,,,,,
too_fast,"[1.2313603941383584, 0.06804988742902708]","[0, 0]","[51.453015175921955, 50.339003624628525]","[1.306375824738784, 0.1595175141847466]","[3.4521396994501066, 5.82357454412653]",,,"[1.3564176042787952, 0.2103897438023212]","[1.7769931443260398, 0.14577232220039496]"
too_fast_derivative,"[1.1316630582338874, 0.013559703153777577]","[0, 0]","[2.1243665568487047, 1.0215617327465558]","[1.086084251614901, 0.051248231807618054]","[1.850699113595627, 1.1607945045440309]",,,"[1.1758118542326912, 0.11019954645715031]","[1.2369383277367105, 0.05309444458660701]"
commission,"[1.714092465196933, 4.48706850459952]","[1.2867937842695278, 0.516883878492967]","[342.83887242332344, 373.80382838071347]",,"[1.3845753468473396, 0.28580436513405033]",,,"[1.8756920268053408, 0.6838357900706777]","[1.6766981132957202, 0.29652904015924614]"
commission_derivative,"[1.5270780468508038, 0.9209112870390944]","[1.4645603577738924, 0.6726499882449484]","[6.752860196284304, 4.193440910126166]",,"[2.011769340217012, 0.8325307449650594]",,,"[1.4266879564802315, 0.34790922428283017]","[2.6857683728650934, 0.9820041156663023]"
omission,"[1.9578517330403609, 5.105359224265269]","[1.2912922693065338, 0.18493127675032525]","[5749.118492276037, 6684.202982338544]",,"[2.402379949708354, 3.3881365641505883]",,,"[3.114505775974893, 1.3107722715599806]","[1.4683875330679168, 0.7472099896897706]"
omission_derivative,"[1.6242021884191244, 1.3053669205834426]","[1.3949651722159648, 0.4587063741941236]","[22.35872942137185, 12.127987682230975]",,"[2.8967614509670936, 2.023845925028566]",,,"[1.6209800590172894, 0.1377871101444102]","[1.5756633259135644, 0.8743853673755784]"
cosine00,"[1.1585122132510712, 0.17870702091521598]","[1.2773496347955193, 0.32319579658333186]","[1.349540664338276, 0.763969283639668]","[1.1771047329725843, 0.16726275337297558]","[1.315088141264998, 0.2585216331942234]","[1.1982577713874434, 0.26957434449707796]","[1.543098391793386, 0.2805692025108155]","[1.1083135477685804, 0.09895368298797497]","[1.1005315549057677, 0.08198914072389134]"
